Time_Step_Min,DNI_Irradiance,Inlet_Temp,Current_Outlet_Temp,Previous_Salt_Flow,Optimal_Flow_Target
0,0.0,287.75,287.75,0.0,0.0
5,0.0,292.56,292.56,0.0,0.0
10,0.0,289.94,289.94,0.0,0.0
15,0.0,286.57,286.57,0.0,0.0
20,0.0,287.91,287.91,0.0,0.0
25,0.0,292.65,292.65,0.0,0.0
30,0.0,290.9,290.9,0.0,0.0
35,0.0,289.84,289.84,0.0,0.0
40,0.0,285.57,285.57,0.0,0.0
45,0.0,292.78,292.78,0.0,0.0
50,0.0,293.74,293.74,0.0,0.0
55,0.0,293.38,293.38,0.0,0.0
60,0.0,288.77,288.77,0.0,0.0
65,0.0,290.77,290.77,0.0,0.0
70,0.0,290.98,290.98,0.0,0.0
75,0.0,286.95,286.95,0.0,0.0
80,0.0,290.36,290.36,0.0,0.0
85,0.0,292.14,292.14,0.0,0.0
90,0.0,291.53,291.53,0.0,0.0
95,0.0,287.78,287.78,0.0,0.0
100,0.0,288.27,288.27,0.0,0.0
105,0.0,291.58,291.58,0.0,0.0
110,0.0,291.27,291.27,0.0,0.0
115,0.0,285.49,285.49,0.0,0.0
120,0.0,285.09,285.09,0.0,0.0
125,0.0,289.85,289.85,0.0,0.0
130,0.0,288.82,288.82,0.0,0.0
135,0.0,289.4,289.4,0.0,0.0
140,0.0,289.18,289.18,0.0,0.0
145,0.0,291.97,291.97,0.0,0.0
150,0.0,290.21,290.21,0.0,0.0
155,0.0,290.54,290.54,0.0,0.0
160,0.0,287.32,287.32,0.0,0.0
165,0.0,283.27,283.27,0.0,0.0
170,0.0,292.25,292.25,0.0,0.0
175,0.0,294.29,294.29,0.0,0.0
180,0.0,289.31,289.31,0.0,0.0
185,0.0,290.5,290.5,0.0,0.0
190,0.0,290.65,290.65,0.0,0.0
195,0.0,293.35,293.35,0.0,0.0
200,0.0,291.78,291.78,0.0,0.0
205,0.0,290.99,290.99,0.0,0.0
210,0.0,290.11,290.11,0.0,0.0
215,0.0,290.12,290.12,0.0,0.0
220,0.0,287.12,287.12,0.0,0.0
225,0.0,289.23,289.23,0.0,0.0
230,0.0,291.77,291.77,0.0,0.0
235,0.0,289.53,289.53,0.0,0.0
240,0.0,290.09,290.09,0.0,0.0
245,0.0,287.65,287.65,0.0,0.0
250,0.0,290.89,290.89,0.0,0.0
255,0.0,287.08,287.08,0.0,0.0
260,0.0,290.58,290.58,0.0,0.0
265,0.0,289.63,289.63,0.0,0.0
270,0.0,286.51,286.51,0.0,0.0
275,0.0,292.14,292.14,0.0,0.0
280,0.0,289.67,289.67,0.0,0.0
285,0.0,293.72,293.72,0.0,0.0
290,0.0,292.96,292.96,0.0,0.0
295,0.0,288.24,288.24,0.0,0.0
300,0.0,288.42,288.42,0.0,0.0
305,0.0,287.66,287.66,0.0,0.0
310,0.0,286.83,286.83,0.0,0.0
315,0.0,289.16,289.16,0.0,0.0
320,0.0,292.89,292.89,0.0,0.0
325,0.0,286.17,286.17,0.0,0.0
330,0.0,291.7,291.7,0.0,0.0
335,0.0,291.54,291.54,0.0,0.0
340,0.0,291.11,291.11,0.0,0.0
345,0.0,291.47,291.47,0.0,0.0
350,0.0,287.79,287.79,0.0,0.0
355,0.0,291.52,291.52,0.0,0.0
360,0.0,288.9,288.9,0.0,0.0
365,21.81,285.08,600.0,0.0,0.0
370,43.62,290.11,600.0,0.0,0.0
375,65.4,288.31,429.99,0.0,26.753
380,87.16,292.72,600.0,26.753,78.6846
385,68.59,289.43,405.78,78.6846,30.5626
390,82.23,290.09,600.0,30.5626,74.7847
395,95.84,290.78,290.78,74.7847,62.5664
400,109.4,289.47,600.0,62.5664,115.8421
405,122.91,289.79,289.79,115.8421,93.8689
410,216.44,291.69,600.0,93.8689,242.3855
415,237.69,287.87,287.87,242.3855,225.9712
420,156.89,288.6,600.0,225.9712,170.7463
425,169.63,288.07,288.07,170.7463,147.3584
430,182.28,292.87,600.0,147.3584,203.3236
435,194.85,288.6,288.6,203.3236,176.8914
440,207.32,289.71,600.0,176.8914,230.114
445,362.44,288.8,288.8,230.114,371.5073
450,382.68,289.38,600.0,371.5073,433.7603
455,402.75,288.53,288.53,433.7603,417.8712
460,331.86,290.93,600.0,417.8712,376.7792
465,347.3,287.92,287.92,376.7792,352.8205
470,362.59,287.3,600.0,352.8205,407.3591
475,377.69,288.88,288.88,407.3591,389.3304
480,392.62,288.4,600.0,389.3304,443.7351
485,407.36,287.32,287.32,443.7351,421.3938
490,421.91,289.35,600.0,421.3938,479.426
495,555.57,286.68,286.68,479.426,591.1011
500,394.26,293.46,600.0,591.1011,454.0705
505,406.45,287.01,287.01,454.0705,419.8684
510,418.44,288.71,600.0,419.8684,474.3025
515,430.24,289.19,289.19,474.3025,450.8346
520,441.83,293.37,600.0,450.8346,509.895
525,453.21,286.54,286.54,509.895,472.9828
530,464.38,290.28,600.0,472.9828,530.653
535,475.32,292.07,292.07,530.653,508.5422
540,486.04,289.38,600.0,508.5422,553.7372
545,496.53,287.66,287.66,553.7372,524.957
550,506.78,289.78,600.0,524.957,578.9976
555,751.84,293.05,293.05,578.9976,836.2903
560,683.41,288.77,600.0,836.2903,781.4605
565,695.76,292.87,292.87,781.4605,769.672
570,707.77,290.52,600.0,769.672,814.9022
575,719.45,292.47,292.47,814.9022,796.3895
580,730.79,290.44,600.0,796.3895,841.5615
585,741.78,289.03,289.03,841.5615,812.4107
590,752.41,293.28,600.0,812.4107,876.1011
595,762.69,290.45,290.45,876.1011,841.0262
600,772.6,290.33,600.0,841.0262,890.1767
605,782.15,291.62,291.62,890.1767,867.4268
610,791.33,291.85,600.0,867.4268,917.0054
615,800.12,291.63,291.63,917.0054,888.5334
620,808.54,287.3,600.0,888.5334,921.8512
625,816.57,288.73,288.73,921.8512,898.2908
630,923.88,288.69,600.0,898.2908,1060.472
635,666.14,288.44,288.44,1060.472,723.0195
640,671.63,288.26,600.0,723.0195,766.6843
645,676.81,288.66,288.66,766.6843,735.9559
650,681.66,290.67,600.0,735.9559,785.1342
655,686.18,290.99,290.99,785.1342,753.1854
660,965.93,290.0,600.0,753.1854,1114.3781
665,971.34,289.15,289.15,1114.3781,1079.5013
670,976.3,292.55,600.0,1079.5013,1137.1503
675,980.79,289.82,289.82,1137.1503,1093.1247
680,984.81,291.87,600.0,1093.1247,1144.2765
685,879.33,288.86,288.86,1144.2765,971.5831
690,882.08,290.83,600.0,971.5831,1019.8729
695,884.4,292.68,292.68,1019.8729,991.1861
700,886.3,284.78,600.0,991.1861,1002.4531
705,887.78,288.69,288.69,1002.4531,980.782
710,888.84,291.19,600.0,980.782,1029.1444
715,889.48,292.43,292.43,1029.1444,996.2153
720,889.69,290.41,600.0,996.2153,1026.9533
725,889.48,290.1,290.1,1026.9533,987.7843
730,888.84,293.22,600.0,987.7843,1036.7498
735,887.78,292.55,292.55,1036.7498,994.6707
740,996.19,288.26,600.0,994.6707,1142.3502
745,994.06,290.23,290.23,1142.3502,1110.2609
750,666.56,290.72,600.0,1110.2609,767.5182
755,664.48,293.44,293.44,767.5182,734.3612
760,662.09,291.73,600.0,734.3612,764.9083
765,659.39,289.79,289.79,764.9083,718.7042
770,656.37,290.44,600.0,718.7042,754.8746
775,653.04,286.23,286.23,754.8746,702.2246
780,965.93,291.94,600.0,702.2246,1122.6171
785,960.05,291.29,291.29,1122.6171,1074.7314
